2017/04/05 15:46:09 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2017/04/05 15:46:48 WARN  - jmeter.protocol.http.proxy.Proxy: [3988] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:49:45 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
2017/04/05 15:50:09 INFO  - jmeter.services.FileServer: Default base='D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin' 
2017/04/05 15:50:09 INFO  - jmeter.services.FileServer: Set new base='D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin\examples\My requests PJ' 
2017/04/05 15:50:09 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/04/05 15:50:09 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/04/05 15:50:09 INFO  - jmeter.save.SaveService: Using SaveService properties version 3.1 
2017/04/05 15:50:09 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/04/05 15:50:09 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/04/05 15:50:09 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/04/05 15:50:09 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/04/05 15:50:09 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : QB 
2017/04/05 15:50:09 INFO  - jmeter.engine.StandardJMeterEngine: Starting 50 threads for group QB. 
2017/04/05 15:50:09 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/04/05 15:50:09 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 50 ramp-up 10 perThread 200.0 delayedStart=false 
2017/04/05 15:50:09 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-1 
2017/04/05 15:50:10 INFO  - jmeter.protocol.http.sampler.LazySchemeSocketFactory: Setting up HTTPS TrustAll Socket Factory 
2017/04/05 15:50:10 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2017/04/05 15:50:10 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2017/04/05 15:50:10 INFO  - jmeter.util.SSLManager: JmeterKeyStore Location:  type JKS 
2017/04/05 15:50:10 INFO  - jmeter.util.SSLManager: KeyStore created OK 
2017/04/05 15:50:10 WARN  - jmeter.util.SSLManager: Keystore file not found, loading empty keystore 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-2 
2017/04/05 15:50:10 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/04/05 15:50:10 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-3 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-4 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-1 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-1 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-2 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-2 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-5 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-3 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-3 
2017/04/05 15:50:10 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-6 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-4 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-4 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-7 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-5 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-5 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-8 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-6 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-6 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-9 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-7 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-7 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-10 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-8 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-8 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-11 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-9 
2017/04/05 15:50:11 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-9 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-12 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-10 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-10 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-13 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-11 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-11 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-14 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-12 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-12 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-15 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-13 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-13 
2017/04/05 15:50:12 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-16 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-14 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-14 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-17 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-15 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-15 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-18 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-16 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-16 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-19 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-17 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread finished: QB 1-17 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread started: QB 1-20 
2017/04/05 15:50:13 INFO  - jmeter.threads.JMeterThread: Thread is done: QB 1-18 
